index,movie_id,Rating,gross_income_doller,budget,Vote,Gross,rm_apr,rm_aug,rm_dec,rm_feb,rm_jan,rm_jul,rm_jun,rm_mar,rm_may,rm_nov,rm_oct,rm_sep,Year,Duration,MetaScore,Name,producer,producer_no,pop_rank_producer,Producer_fb_like,actor_1_name,actor_1_no,pop_rank_actor_1,actor_1_fb_likes,actor_2_name,actor_2_no,pop_rank_actor_2,actor_2_fb_likes,actor_3_name,actor_3_no,pop_rank_actor_3,actor_3_fb_likes,composer,composer_no,pop_rank_composer,composer_fb_like,directors,director_no,pop_rank_director,director_fb_likes,total_rank,total_fb_like, Musical, Mystery,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Romance,Sci_Fi,Sport,Thriller,War,Western,Assamese,Bengali,Bhojpuri,English,Gujarati,Hindi,Kannada,Malayalam,Mandarin,Marathi,Punjabi,Tamil,Telugu,Tibetan,Urdu,class
0,315642,7.1,5633588.0,1400000.0,15870,586028,0,0,0,0,1,0,0,0,0,0,0,0,2016,103,15,Wazir,Navmeet Singh,17,7.82,0,Amitabh Bachchan,67,6.57,30023921,Farhan Akhtar,3,9.67,2314652,Aditi Rao Hydari,1,9.0,1161930,Ankit Tiwari,18,7.17,3049698,Bejoy Nambiar,5,8.6,0,8.14,36550201,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
1,403935,3.2,315609.0,13020000.0,2948,675101,0,0,1,0,0,0,0,0,0,0,0,0,2014,144,15,Action Jackson,Anil Thakur,6,5.33,0,Prabhas,15,6.87,10161422,Shahid Kapoor,6,4.67,15607654,Ajay Devgn,8,7.25,7777772,Himesh Reshammiya,59,6.32,1875333,Prabhu Deva,14,6.43,3994660,6.15,39416841,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2,884726,5.1,18662347.0,70000000.0,5392,8462027,0,0,0,0,0,0,0,0,1,0,0,0,2013,88,25,Legends of Oz: Dorothy's Return,Douglas Wright,1,7.0,0,Dan Aykroyd,1,7.0,0,Jim Belushi,1,7.0,0,Kelsey Grammer,3,6.0,0,Toby Chu,1,7.0,0,Daniel St. Pierre,1,7.0,0,6.83,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
3,1029231,5.2,4170204.0,16100000.0,19316,2191343,0,0,0,0,0,0,0,0,0,0,1,0,2013,152,15,Krrish 3,Shammi Saini,1,7.0,0,Hrithik Roshan,15,8.2,16814828,Vivek Oberoi,10,5.7,116943,Priyanka Chopra,15,7.13,40046037,Salim-Sulaiman,56,6.73,1625731,Rakesh Roshan,9,6.78,0,6.92,58603539,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0
4,1198101,6.0,2986748.0,8400000.0,11592,1602466,0,0,0,0,0,0,0,0,1,0,0,0,2010,123,62,Kites,Prashant Shah,9,6.89,0,Hrithik Roshan,15,8.2,16814844,Steven Michael Quezada,1,7.0,3390,BÌÁrbara Mori,1,7.0,851255,Rajesh Roshan,29,6.41,0,Anurag Basu,7,7.0,174139,7.08,17843628,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
5,1213012,5.2,50507267.0,20000000.0,12659,25077977,0,0,0,0,0,0,0,0,0,0,0,1,2010,90,36,Alpha and Omega,Timothy Yoo,1,7.0,0,Justin Long,1,7.0,0,Hayden Panettiere,1,7.0,0,Dennis Hopper,1,7.0,86466,Chris Bacon,2,7.0,0,Ben Gluck,1,7.0,0,7.0,86466,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6,1217213,7.1,627018.0,35000000.0,9856,675101,0,1,0,0,0,0,0,0,0,0,0,0,2012,75,15,Secret of the Wings,Makul Wigert,1,10.0,0,Mae Whitman,1,10.0,3090,Lucy Hale,1,10.0,6501466,Timothy Dalton,1,10.0,6477,Joel McNeely,1,10.0,0,Peggy Holmes,1,10.0,0,10.0,6511033,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
7,1244093,2.9,743799.0,6000000.0,1460,675101,0,0,1,0,0,0,0,0,0,0,0,0,2010,98,15,Hisss,Vikram Singh,5,6.2,0,Mallika Sherawat,3,5.67,2457864,Irrfan Khan,10,6.3,3051110,Jeff Doucette,1,7.0,1278,Anu Malik,97,6.2,676801,Jennifer Lynch,1,7.0,0,6.4,6187053,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
8,1291465,7.1,12604224.0,1400000.0,15454,1436397,0,0,0,0,0,0,1,0,0,0,0,0,2010,163,15,Raajneeti,Siddharth Roy Kapur,1,10.0,3233,Ajay Devgn,67,6.91,7777774,Ranbir Kapoor,3,9.0,953385,Nana Patekar,4,7.5,536182,Adesh Shrivastava,46,5.8,96684,Prakash Jha,11,6.82,44767,7.67,9412025,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1
9,1305797,7.1,3889511.0,26600000.0,23532,4373898,0,0,0,0,0,0,0,0,0,0,1,0,2010,155,15,Enthiran,Hansraj Saxena,2,10.0,1680,Rajinikanth,21,8.1,308122,Aishwarya Rai Bachchan,20,7.6,1606110,Danny Denzongpa,9,7.56,3145,A.R. Rahman,103,7.9,22319460,S. Shankar,14,9.43,2007209,8.43,26245726,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
10,1321869,4.5,66428.0,50000000.0,2915,675101,0,0,0,1,0,0,0,0,0,0,0,0,2013,109,19,The Lovers,Howard Weissman,1,4.0,0,Josh Hartnett,1,4.0,10179,Bipasha Basu,12,6.08,5837048,Tamsin Egerton,1,4.0,550,Dirk BrossÌ©,1,4.0,8574,Roland JoffÌ©,1,4.0,0,4.35,5856351,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
11,1373156,7.0,293499.0,1400000.0,9442,262511,0,0,0,1,0,0,0,0,0,0,0,0,2010,135,15,Karthik Calling Karthik,Ritesh Sidhwani,10,8.0,0,Siddhartha Gupta,1,8.0,0,Swapnel Desai,1,8.0,0,Farhan Akhtar,2,7.5,0,Midival Punditz,2,7.5,0,Vijay Lalwani,1,8.0,0,7.83,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1
12,1375789,5.3,3164441.0,1400000.0,14289,1578996,0,0,0,0,1,0,0,0,0,0,0,0,2013,150,15,Race 2,Ramesh Sadhuram Taurani,16,6.56,49583,Saif Ali Khan,28,6.57,24704,John Abraham,12,6.58,7308288,Deepika Padukone,3,7.0,33957693,Pritam Chakraborty,31,6.74,3125909,Mastan Alibhai Burmawalla,16,6.94,0,6.73,44466177,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
13,1411956,6.8,57527.0,1400000.0,1390,675101,1,0,0,0,0,0,0,0,0,0,0,0,2016,94,49,Sold,Jan Waldman-Brown,1,4.0,0,Gillian Anderson,1,4.0,0,David Arquette,1,4.0,0,Priyanka Bose,1,4.0,0,John McDowell,1,4.0,0,Jeffrey D. Brown,1,4.0,0,4.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
14,1433810,7.0,678715.0,1428000.0,11782,576639,0,0,0,0,1,0,0,0,0,0,0,0,2010,100,55,Dhobi Ghat,Kishor Sawant,1,9.0,0,Prateik,1,9.0,0,Monica Dogra,1,9.0,0,Kriti Malhotra,1,9.0,0,Gustavo Santaolalla,1,9.0,0,Kiran Rao,1,9.0,0,9.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1
15,1438298,7.4,1712240.0,1400000.0,15908,1017335,0,0,0,0,0,0,0,0,0,1,0,0,2010,126,15,Guzaarish,Ravinder Thakur,11,7.09,0,Hrithik Roshan,15,8.2,16814849,Aishwarya Rai Bachchan,20,7.6,1606066,Shernaz Patel,2,10.0,0,Tubby,5,8.2,18779,Sanjay Leela Bhansali,10,9.4,4057,8.42,18443751,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1
16,1455811,5.6,1040814.0,1400000.0,8702,541904,0,0,0,0,0,1,0,0,0,0,0,0,2010,157,15,Khatta Meetha,Bharat Patel,1,7.0,0,Akshay Kumar,85,6.95,25688036,Trisha Krishnan,22,7.32,86489,Kulbhushan Kharbanda,5,6.0,649,Ouseppachan,10,7.7,0,Priyadarshan,38,7.5,307516,7.08,26082690,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
17,1499201,5.8,1615888.0,1400000.0,5684,854757,0,0,0,0,0,0,0,0,0,0,1,0,2010,151,15,Anjaana Anjaani,Ilana Rossein,5,7.6,0,Priyanka Chopra,8,5.25,40046097,Carl Marino,1,7.0,30239,Ranbir Kapoor,2,5.5,953386,Salim-Sulaiman,56,6.73,1625730,Siddharth Anand,4,7.0,0,6.51,42655452,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
18,1562871,4.6,35911689.0,24000000.0,36195,2511689,0,0,0,0,0,0,0,0,0,0,1,0,2011,156,60,Ra.One,Shah Rukh Khan,3,7.0,29359377,Shah Rukh Khan,44,8.11,29359376,Arjun Rampal,9,6.11,0,Kareena Kapoor,10,6.7,291972,Shekhar Ravjiani,39,6.54,1071150,Anubhav Sinha,10,6.7,21736,6.86,60103611,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,1,1,0,0,0
19,1572311,2.5,2454414.0,4200000.0,10398,1076266,0,0,1,0,0,0,0,0,0,0,0,0,2010,135,15,Tees Maar Khan,Yogesh Tevatia,7,6.57,0,Akshay Kumar,85,6.95,25688040,Katrina Kaif,16,7.31,14223519,Akshaye Khanna,6,6.17,981,Shekhar Ravjiani,39,6.54,1071164,Farah Khan,4,7.75,3086618,6.88,44070322,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
20,1594972,3.4,30734502.0,7000000.0,8128,17017118,0,0,0,0,1,0,0,0,0,0,0,0,2016,90,21,Norm of the North,Rose Zhang,1,7.0,0,Rob Schneider,1,7.0,387091,Heather Graham,1,7.0,5673,Ken Jeong,1,7.0,629130,Stephen McKeon,1,7.0,0,Trevor Wall,1,7.0,708,7.0,1022602,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
21,1608777,7.1,261597.0,1400000.0,4890,675101,0,0,0,0,0,0,0,0,0,0,0,0,2010,155,15,"LSD: Love, Sex Aur Dhokha",Priya Sreedharan,4,8.25,0,Nushrat Bharucha,2,6.5,671424,Anshuman Jha,2,6.5,18603,Neha Chauhan,1,8.0,0,Sneha Khanwalkar,4,7.75,0,Dibakar Banerjee,5,8.8,5883,7.63,695910,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,1
22,1620933,8.2,40311.0,1400000.0,29967,39567,0,0,0,0,0,0,0,1,0,0,0,0,2012,135,15,Paan Singh Tomar,Ronnie Screwvala,28,7.36,89070,Irrfan Khan,13,7.62,3051119,Hemendra Dandotiya,1,8.0,0,Navneet Gairola,1,8.0,0,Abhishek Ray,7,8.0,0,Tigmanshu Dhulia,11,7.0,5356,7.66,3145545,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
23,1629376,6.1,364931.0,4770000.0,5055,268662,0,0,0,1,0,0,0,0,0,0,0,0,2011,137,15,7 Khoon Maaf,Satish Sharma,2,7.0,0,Priyanka Chopra,8,5.25,0,Vivaan Shah,1,4.0,0,Neil Nitin Mukesh,5,6.4,0,Vishal Bhardwaj,20,7.3,0,Vishal Bhardwaj,9,7.44,0,6.23,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0
24,1639426,8.2,7461.0,1400000.0,39534,7461,0,0,0,0,0,1,0,0,0,0,0,0,2010,134,15,Udaan,Sanjay Singh,8,7.0,0,Rajat Barmecha,1,8.0,0,Ronit Roy,3,7.33,0,Manjot Singh,1,8.0,306690,Amit Trivedi,36,7.53,330445,Vikramaditya Motwane,4,8.25,0,7.69,637135,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
