Name,Year,Genre,Budget,Duration,Rating,Language,Industry
The Blue Lagoon,1980.0,Adventure,4500000,104,5.8,English,Hollywood
Star Wars: Episode V - The Empire Strikes Back,1980.0,Action,18000000,124,8.7,English,Hollywood
Airplane!,1980.0,Comedy,3500000,88,7.7,English,Hollywood
Caddyshack,1980.0,Comedy,6000000,98,7.3,English,Hollywood
Friday the 13th,1980.0,Horror,550000,95,6.4,English,Hollywood
The Blues Brothers,1980.0,Action,27000000,133,7.9,English,Hollywood
Raging Bull,1980.0,Biography,18000000,129,8.2,English,Hollywood
Superman II,1980.0,Action,54000000,127,6.8,English,Hollywood
The Long Riders,1980.0,Biography,10000000,100,7.0,English,Hollywood
Any Which Way You Can,1980.0,Action,15000000,116,6.1,English,Hollywood
Popeye,1980.0,Adventure,20000000,114,5.3,English,Hollywood
Ordinary People,1980.0,Drama,6000000,124,7.7,English,Hollywood
Dressed to Kill,1980.0,Crime,6500000,104,7.1,English,Hollywood
Somewhere in Time,1980.0,Drama,5100000,103,7.2,English,Hollywood
Fame,1980.0,Drama,37010639,134,6.6,English,Hollywood
9 to 5,1980.0,Comedy,10000000,109,6.9,English,Hollywood
The Fog,1980.0,Horror,1000000,89,6.8,English,Hollywood
Stir Crazy,1980.0,Comedy,37010639,111,6.8,English,Hollywood
Heaven's Gate,1980.0,Adventure,44000000,219,6.8,English,Hollywood
The Final Countdown,1980.0,Action,12000000,103,6.7,English,Hollywood
Xanadu,1980.0,Fantasy,20000000,96,5.3,English,Hollywood
Urban Cowboy,1980.0,Drama,37010639,132,6.4,English,Hollywood
Altered States,1980.0,Horror,37010639,102,6.9,English,Hollywood
Little Darlings,1980.0,Comedy,37010639,96,6.5,English,Hollywood
Brubaker,1980.0,Crime,9000000,131,7.2,English,Hollywood
American Gigolo,1980.0,Crime,4800000,117,6.2,English,Hollywood
My Bodyguard,1980.0,Comedy,37010639,102,7.1,English,Hollywood
Smokey and the Bandit II,1980.0,Action,37010639,100,5.3,English,Hollywood
Cattle Annie and Little Britches,1980.0,Drama,5100000,97,6.1,English,Hollywood
Seems Like Old Times,1980.0,Comedy,37010639,102,6.7,English,Hollywood
Private Benjamin,1980.0,Comedy,10000000,109,6.2,English,Hollywood
The Hollywood Knights,1980.0,Comedy,4000000,91,6.3,English,Hollywood
Motel Hell,1980.0,Comedy,3000000,101,6.0,English,Hollywood
The Jazz Singer,1980.0,Drama,37010639,115,5.9,English,Hollywood
Coal Miner's Daughter,1980.0,Biography,37010639,124,7.5,English,Hollywood
The Watcher in the Woods,1980.0,Family,37010639,84,6.3,English,Hollywood
The Stunt Man,1980.0,Action,3500000,131,7.1,English,Hollywood
Where the Buffalo Roam,1980.0,Biography,37010639,99,6.6,English,Hollywood
Cheech and Chong's Next Movie,1980.0,Comedy,37010639,99,6.1,English,Hollywood
The Island,1980.0,Action,22000000,109,5.3,English,Hollywood
The Boogey Man,1980.0,Horror,300000,82,4.6,English,Hollywood
The Nude Bomb,1980.0,Action,15000000,94,5.1,English,Hollywood
Stardust Memories,1980.0,Comedy,10000000,89,7.3,English,Hollywood
Melvin and Howard,1980.0,Comedy,7000000,95,6.8,English,Hollywood
Can't Stop the Music,1980.0,Biography,20000000,124,4.2,English,Hollywood
Bronco Billy,1980.0,Action,6500000,116,6.1,English,Hollywood
The Private Eyes,1980.0,Comedy,37010639,91,6.7,English,Hollywood
When Time Ran Out...,1980.0,Action,20000000,121,4.6,English,Hollywood
Oh Heavenly Dog,1980.0,Comedy,6000000,103,5.4,English,Hollywood
The Octagon,1980.0,Action,4000000,103,5.1,English,Hollywood
Hangar 18,1980.0,Sci-Fi,11000000,97,5.3,English,Hollywood
Herbie Goes Bananas,1980.0,Adventure,37010639,100,5.0,English,Hollywood
The Competition,1980.0,Drama,37010639,123,6.7,English,Hollywood
It's My Turn,1980.0,Comedy,37010639,91,5.5,English,Hollywood
Honeysuckle Rose,1980.0,Drama,37010639,119,6.3,English,Hollywood
Resurrection,1980.0,Drama,37010639,103,7.3,English,Hollywood
Fatso,1980.0,Comedy,37010639,93,6.3,English,Hollywood
The Fiendish Plot of Dr. Fu Manchu,1980.0,Comedy,37010639,100,5.1,English,Hollywood
Serial,1980.0,Comedy,37010639,86,6.6,English,Hollywood
Hero at Large,1980.0,Comedy,37010639,98,6.0,English,Hollywood
Wholly Moses!,1980.0,Comedy,37010639,103,4.7,English,Hollywood
"Bon Voyage, Charlie Brown (and Don't Come Back!!)",1980.0,Animation,37010639,75,7.3,English,Hollywood
In God We Trust (or Gimme That Prime Time Religion),1980.0,Comedy,37010639,97,5.5,English,Hollywood
Roadie,1980.0,Comedy,37010639,106,5.2,English,Hollywood
Just Tell Me What You Want,1980.0,Comedy,37010639,112,5.5,English,Hollywood
The Last Flight of Noah's Ark,1980.0,Adventure,6000000,97,5.8,English,Hollywood
