Name,Year,Genre,Budget,Duration,Rating,Language,Industry
Wazir,2016,"Mystery ,Action ,Crime ,Drama ,Thriller",1400000,103,7.1,Hindi,Bollywood
Action Jackson,2014,"Action ,Thriller",13020000,144,3.2,Hindi,Bollywood
Legends of Oz: Dorothy's Return,2013,"Musical ,Adventure ,Animation ,Family ,Fantasy",70000000,88,5.1,English,Hollywood
Krrish 3,2013,"Action ,Western",16100000,152,5.2,Hindi,Bollywood
Kites,2010,"Action ,Drama ,Romance ,Thriller",8400000,123,6.0,English,Hollywood
Alpha and Omega,2010,"Adventure ,Animation ,Comedy ,Family ,Romance",20000000,90,5.2,English,Hollywood
Secret of the Wings,2012,"Animation ,Family ,Fantasy",35000000,75,7.1,English,Hollywood
Hisss,2010,"Comedy ,Drama ,Horror ,Thriller",6000000,98,2.9,English,Hollywood
Raajneeti,2010,"Drama ,Thriller",1400000,163,7.1,Hindi,Bollywood
Enthiran,2010,"Action ,Western",26600000,155,7.1,Tamil,Kollywood
The Lovers,2013,"Action ,Adventure ,Romance ,Western",50000000,109,4.5,English,Hollywood
Karthik Calling Karthik,2010,"Mystery ,Drama ,Thriller",1400000,135,7.0,Hindi,Bollywood
Race 2,2013,"Action ,Crime ,Thriller",1400000,150,5.3,Hindi,Bollywood
Sold,2016,Drama,1400000,94,6.8,English,Hollywood
Dhobi Ghat,2010,Drama,1428000,100,7.0,Hindi,Bollywood
Guzaarish,2010,Drama,1400000,126,7.4,Hindi,Bollywood
Khatta Meetha,2010,"Comedy ,Crime ,Drama",1400000,157,5.6,Hindi,Bollywood
Anjaana Anjaani,2010,"Musical ,Comedy ,Drama ,Romance",1400000,151,5.8,Hindi,Bollywood
Ra.One,2011,"Action ,Adventure ,Western",24000000,156,4.6,Hindi,Bollywood
Tees Maar Khan,2010,"Comedy ,Crime",4200000,135,2.5,Hindi,Bollywood
Norm of the North,2016,"Adventure ,Animation ,Comedy ,Family",7000000,90,3.4,English,Hollywood
"LSD: Love, Sex Aur Dhokha",2010,"Comedy ,Crime ,Drama ,Romance",1400000,155,7.1,Hindi,Bollywood
Paan Singh Tomar,2012,"Action ,Biography ,Crime ,Sport ,Thriller",1400000,135,8.2,Hindi,Bollywood
7 Khoon Maaf,2011,"Mystery ,Drama ,Thriller",4770000,137,6.1,Hindi,Bollywood
Udaan,2010,Drama,1400000,134,8.2,Hindi,Bollywood
Ship of Theseus,2012,Drama,168000,139,8.0,English,Hollywood
Players,2012,"Action ,Crime ,Thriller",1400000,163,4.1,Hindi,Bollywood
